689755a506bb329556767a97|170339|555|20.0|{"SS0001":20.0}|{"SS0001":0.091,"xx01":0}|2025-08-09 22:05:24
689755d706bb329556767ac8|170339|组选034|2.0|{"SS0001":2.0}|{"SS0001":0.08,"xx01":0}|2025-08-09 22:06:15
689755d706bb329556767ac9|170339|组选036|2.0|{"SS0001":2.0}|{"SS0001":0.08,"xx01":0}|2025-08-09 22:06:15
689755d706bb329556767aca|170339|组选037|2.0|{"SS0001":2.0}|{"SS0001":0.08,"xx01":0}|2025-08-09 22:06:15
689755d706bb329556767acb|170339|组选039|2.0|{"SS0001":2.0}|{"SS0001":0.08,"xx01":0}|2025-08-09 22:06:15
689755d706bb329556767acc|170339|组选056|2.0|{"SS0001":2.0}|{"SS0001":0.08,"xx01":0}|2025-08-09 22:06:15
689755d706bb329556767acd|170339|组选057|2.0|{"SS0001":2.0}|{"SS0001":0.08,"xx01":0}|2025-08-09 22:06:15
689755d706bb329556767ace|170339|组选456|2.0|{"SS0001":2.0}|{"SS0001":0.08,"xx01":0}|2025-08-09 22:06:15
689755d706bb329556767acf|170339|组选457|2.0|{"SS0001":2.0}|{"SS0001":0.08,"xx01":0}|2025-08-09 22:06:15
689755d706bb329556767ad0|170339|组选569|2.0|{"SS0001":2.0}|{"SS0001":0.08,"xx01":0}|2025-08-09 22:06:15
689755d706bb329556767ad1|170339|组选579|2.0|{"SS0001":2.0}|{"SS0001":0.08,"xx01":0}|2025-08-09 22:06:15
689755d706bb329556767ad2|170339|组选068|2.0|{"SS0001":2.0}|{"SS0001":0.08,"xx01":0}|2025-08-09 22:06:15
689755d706bb329556767ad3|170339|组选078|2.0|{"SS0001":2.0}|{"SS0001":0.08,"xx01":0}|2025-08-09 22:06:15
