68a3358c2486dfb21a4cdb06|170339|555|20.0|{"SS0001":20.0}|{"SS0001":0.091,"xx01":0}|2025-08-18 22:15:40
68a335b82486dfb21a4cdb2d|170339|组选015|2.0|{"SS0001":2.0}|{"SS0001":0.08,"xx01":0}|2025-08-18 22:16:24
68a335b82486dfb21a4cdb2e|170339|组选025|2.0|{"SS0001":2.0}|{"SS0001":0.08,"xx01":0}|2025-08-18 22:16:24
68a335b82486dfb21a4cdb2f|170339|组选045|2.0|{"SS0001":2.0}|{"SS0001":0.08,"xx01":0}|2025-08-18 22:16:24
68a335b82486dfb21a4cdb30|170339|组选125|2.0|{"SS0001":2.0}|{"SS0001":0.08,"xx01":0}|2025-08-18 22:16:24
68a335b82486dfb21a4cdb31|170339|组选145|2.0|{"SS0001":2.0}|{"SS0001":0.08,"xx01":0}|2025-08-18 22:16:24
68a335b82486dfb21a4cdb32|170339|组选157|2.0|{"SS0001":2.0}|{"SS0001":0.08,"xx01":0}|2025-08-18 22:16:24
68a335b82486dfb21a4cdb33|170339|组选245|2.0|{"SS0001":2.0}|{"SS0001":0.08,"xx01":0}|2025-08-18 22:16:24
68a335b82486dfb21a4cdb34|170339|组选257|2.0|{"SS0001":2.0}|{"SS0001":0.08,"xx01":0}|2025-08-18 22:16:24
68a335b82486dfb21a4cdb35|170339|组选016|2.0|{"SS0001":2.0}|{"SS0001":0.08,"xx01":0}|2025-08-18 22:16:24
68a335b82486dfb21a4cdb36|170339|组选026|2.0|{"SS0001":2.0}|{"SS0001":0.08,"xx01":0}|2025-08-18 22:16:24
68a335b82486dfb21a4cdb37|170339|组选046|2.0|{"SS0001":2.0}|{"SS0001":0.08,"xx01":0}|2025-08-18 22:16:24
68a335b82486dfb21a4cdb38|170339|组选167|2.0|{"SS0001":2.0}|{"SS0001":0.08,"xx01":0}|2025-08-18 22:16:24
68a335b82486dfb21a4cdb39|170339|组选267|2.0|{"SS0001":2.0}|{"SS0001":0.08,"xx01":0}|2025-08-18 22:16:24
68a335b82486dfb21a4cdb3a|170339|组选028|2.0|{"SS0001":2.0}|{"SS0001":0.08,"xx01":0}|2025-08-18 22:16:24
68a335b82486dfb21a4cdb3b|170339|组选029|2.0|{"SS0001":2.0}|{"SS0001":0.08,"xx01":0}|2025-08-18 22:16:24
68a335b82486dfb21a4cdb3c|170339|组选279|2.0|{"SS0001":2.0}|{"SS0001":0.08,"xx01":0}|2025-08-18 22:16:24
68a335b82486dfb21a4cdb3d|170339|组选036|2.0|{"SS0001":2.0}|{"SS0001":0.08,"xx01":0}|2025-08-18 22:16:24
68a335b82486dfb21a4cdb3e|170339|组选038|2.0|{"SS0001":2.0}|{"SS0001":0.08,"xx01":0}|2025-08-18 22:16:24
68a335b82486dfb21a4cdb3f|170339|组选039|2.0|{"SS0001":2.0}|{"SS0001":0.08,"xx01":0}|2025-08-18 22:16:24
68a335b82486dfb21a4cdb40|170339|组选135|2.0|{"SS0001":2.0}|{"SS0001":0.08,"xx01":0}|2025-08-18 22:16:24
68a335b82486dfb21a4cdb41|170339|组选136|2.0|{"SS0001":2.0}|{"SS0001":0.08,"xx01":0}|2025-08-18 22:16:24
68a335b82486dfb21a4cdb42|170339|组选138|2.0|{"SS0001":2.0}|{"SS0001":0.08,"xx01":0}|2025-08-18 22:16:24
68a335b82486dfb21a4cdb43|170339|组选139|2.0|{"SS0001":2.0}|{"SS0001":0.08,"xx01":0}|2025-08-18 22:16:24
68a335b82486dfb21a4cdb44|170339|组选156|2.0|{"SS0001":2.0}|{"SS0001":0.08,"xx01":0}|2025-08-18 22:16:24
68a335b82486dfb21a4cdb45|170339|组选158|2.0|{"SS0001":2.0}|{"SS0001":0.08,"xx01":0}|2025-08-18 22:16:24
68a335b82486dfb21a4cdb46|170339|组选159|2.0|{"SS0001":2.0}|{"SS0001":0.08,"xx01":0}|2025-08-18 22:16:24
68a335b82486dfb21a4cdb47|170339|组选238|2.0|{"SS0001":2.0}|{"SS0001":0.08,"xx01":0}|2025-08-18 22:16:24
68a335b82486dfb21a4cdb48|170339|组选239|2.0|{"SS0001":2.0}|{"SS0001":0.08,"xx01":0}|2025-08-18 22:16:24
68a335b82486dfb21a4cdb49|170339|组选258|2.0|{"SS0001":2.0}|{"SS0001":0.08,"xx01":0}|2025-08-18 22:16:24
68a335b82486dfb21a4cdb4a|170339|组选259|2.0|{"SS0001":2.0}|{"SS0001":0.08,"xx01":0}|2025-08-18 22:16:24
68a335b82486dfb21a4cdb4b|170339|组选345|2.0|{"SS0001":2.0}|{"SS0001":0.08,"xx01":0}|2025-08-18 22:16:24
68a335b82486dfb21a4cdb4c|170339|组选346|2.0|{"SS0001":2.0}|{"SS0001":0.08,"xx01":0}|2025-08-18 22:16:24
68a335b82486dfb21a4cdb4d|170339|组选349|2.0|{"SS0001":2.0}|{"SS0001":0.08,"xx01":0}|2025-08-18 22:16:24
68a335b82486dfb21a4cdb4e|170339|组选456|2.0|{"SS0001":2.0}|{"SS0001":0.08,"xx01":0}|2025-08-18 22:16:24
68a335b82486dfb21a4cdb4f|170339|组选459|2.0|{"SS0001":2.0}|{"SS0001":0.08,"xx01":0}|2025-08-18 22:16:24
68a335b82486dfb21a4cdb50|170339|组选367|2.0|{"SS0001":2.0}|{"SS0001":0.08,"xx01":0}|2025-08-18 22:16:24
68a335b82486dfb21a4cdb51|170339|组选379|2.0|{"SS0001":2.0}|{"SS0001":0.08,"xx01":0}|2025-08-18 22:16:24
68a335df2486dfb21a4cdb53|170339|922|2.0|{"SS0001":2.0}|{"SS0001":0.08,"xx01":0}|2025-08-18 22:17:03
68a335df2486dfb21a4cdb54|170339|925|2.0|{"SS0001":2.0}|{"SS0001":0.08,"xx01":0}|2025-08-18 22:17:03
68a335df2486dfb21a4cdb55|170339|299|2.0|{"SS0001":2.0}|{"SS0001":0.08,"xx01":0}|2025-08-18 22:17:03
68a335df2486dfb21a4cdb56|170339|716|2.0|{"SS0001":2.0}|{"SS0001":0.08,"xx01":0}|2025-08-18 22:17:03
68a335df2486dfb21a4cdb57|170339|761|2.0|{"SS0001":2.0}|{"SS0001":0.08,"xx01":0}|2025-08-18 22:17:03
68a335df2486dfb21a4cdb58|170339|176|2.0|{"SS0001":2.0}|{"SS0001":0.08,"xx01":0}|2025-08-18 22:17:03
68a335df2486dfb21a4cdb59|170339|671|2.0|{"SS0001":2.0}|{"SS0001":0.08,"xx01":0}|2025-08-18 22:17:03
68a335df2486dfb21a4cdb5a|170339|167|2.0|{"SS0001":2.0}|{"SS0001":0.08,"xx01":0}|2025-08-18 22:17:03
68a335df2486dfb21a4cdb5b|170339|138|2.0|{"SS0001":2.0}|{"SS0001":0.08,"xx01":0}|2025-08-18 22:17:03
68a335df2486dfb21a4cdb5c|170339|158|2.0|{"SS0001":2.0}|{"SS0001":0.08,"xx01":0}|2025-08-18 22:17:03
68a335df2486dfb21a4cdb5d|170339|组选229|2.0|{"SS0001":2.0}|{"SS0001":0.08,"xx01":0}|2025-08-18 22:17:03
68a335df2486dfb21a4cdb5e|170339|组选259|2.0|{"SS0001":2.0}|{"SS0001":0.08,"xx01":0}|2025-08-18 22:17:03
68a335df2486dfb21a4cdb5f|170339|组选299|2.0|{"SS0001":2.0}|{"SS0001":0.08,"xx01":0}|2025-08-18 22:17:03
68a335df2486dfb21a4cdb60|170339|组选167|2.0|{"SS0001":2.0}|{"SS0001":0.08,"xx01":0}|2025-08-18 22:17:03
68a335df2486dfb21a4cdb61|170339|组选167|2.0|{"SS0001":2.0}|{"SS0001":0.08,"xx01":0}|2025-08-18 22:17:03
68a335df2486dfb21a4cdb62|170339|组选167|2.0|{"SS0001":2.0}|{"SS0001":0.08,"xx01":0}|2025-08-18 22:17:03
68a335df2486dfb21a4cdb63|170339|组选167|2.0|{"SS0001":2.0}|{"SS0001":0.08,"xx01":0}|2025-08-18 22:17:03
68a335df2486dfb21a4cdb64|170339|组选167|2.0|{"SS0001":2.0}|{"SS0001":0.08,"xx01":0}|2025-08-18 22:17:03
68a335df2486dfb21a4cdb65|170339|组选138|2.0|{"SS0001":2.0}|{"SS0001":0.08,"xx01":0}|2025-08-18 22:17:03
68a335df2486dfb21a4cdb66|170339|组选158|2.0|{"SS0001":2.0}|{"SS0001":0.08,"xx01":0}|2025-08-18 22:17:03
68a3361f2486dfb21a4cdb68|170339|357|2.0|{"SS0001":2.0}|{"SS0001":0.08,"xx01":0}|2025-08-18 22:18:07
68a3361f2486dfb21a4cdb69|170339|592|2.0|{"SS0001":2.0}|{"SS0001":0.08,"xx01":0}|2025-08-18 22:18:07
68a3361f2486dfb21a4cdb6a|170339|506|2.0|{"SS0001":2.0}|{"SS0001":0.08,"xx01":0}|2025-08-18 22:18:07
68a3361f2486dfb21a4cdb6b|170339|组选357|2.0|{"SS0001":2.0}|{"SS0001":0.08,"xx01":0}|2025-08-18 22:18:07
68a3361f2486dfb21a4cdb6c|170339|组选259|2.0|{"SS0001":2.0}|{"SS0001":0.08,"xx01":0}|2025-08-18 22:18:07
68a3361f2486dfb21a4cdb6d|170339|组选056|2.0|{"SS0001":2.0}|{"SS0001":0.08,"xx01":0}|2025-08-18 22:18:07
